Species,0086SE_IS01,0086SE_0001,0086SE_0002,0086SE_0003,0086SE_0004,0086SE_0005,0086SE_0006,0086SE_0007,0086SE_0009,0086SE_0010,0086SE_0011,0086SE_0013,0086SE_0014,0086SE_0015,0086SE_0016,0086SE_0017,0086SE_0018,0086SE_0019,0086SE_0020,0086SE_0021,0086SE_0022,0086SE_0024,0086SE_0025,0086SE_0026,0086SE_0027,0086SE_0028,0086SE_0029,0086SE_0030,0086SE_0031,0086SE_0032,0086SE_0033
PC 30:0,0,7.486,4.911,4.338,1.599,1.27,2.627,3.66,3.613,1.665,5.539,0.372,4.811,5.415,4.98,2.389,2.782,7.759,7.169,8.595,5.846,3.299,4.446,4.773,1.724,1.2,1.794,0,0,0,3.646
PC 30:1,0,1.925,3.928,3.492,2.268,0.695,1.065,2.606,2.4,2.72,2.637,2.888,2.844,2.617,3.08,3.288,2.401,0,3.081,4.962,2.234,1.621,2.14,1.863,3.052,1.262,2.416,0.653,0,0.4,0
PC 32:0,0,10.045,12.083,10.239,18.667,12.531,11.926,9.93,8.927,10.042,17.546,11.697,13.657,14.672,14.303,10.46,13.332,20.91,19.721,25.448,14.658,9.769,8.704,9.686,11.573,11.241,12.367,7.561,12.923,13.239,12.089
PC 32:1,0,7.881,8.969,7.053,14.224,9.325,11.255,8.75,8.955,13.167,11.82,5.645,23.567,38.118,18.758,18.873,22.358,46.751,76.619,111.113,50.976,20.037,21.554,19.659,8.031,7.929,8.484,5.798,9.257,8.07,7.219
PC 32:2,0,3.052,2.564,1.413,1.741,1.308,1.14,3.145,3.343,2.921,2.155,0.996,3.249,3.132,2.536,2.898,3.052,2.949,4.099,6.877,3.949,1.638,2.005,2.499,1.3,1.267,1.063,0.323,0.968,1.589,0.86
PC 34:0,0,2.833,4.7,0,0,0,0,2.976,0,3.157,0,0,0,0,0,3.658,0,0,0,0,0,0,0,0,3.075,2.143,2.981,0,0,3.206,0
PC 34:1,0,116.274,214.94,151.57,239.754,144.453,134.057,132.01,126.098,190.659,273.21,159.458,219.723,248.383,204.773,171.201,220.634,349.229,480.114,654.536,366.759,131.125,133.571,163.936,172.213,179.487,194.021,140.412,235.514,207.346,146.869
PC 34:2,0,219.971,436.618,380.413,367.138,189.667,169.666,301.839,287.364,350.333,433.815,208.304,318.617,259.83,247.752,254.175,247.725,344.508,289.816,388.006,317.473,154.004,140.707,189.325,252.944,268.164,266.354,159.26,271.294,376.199,304.347
PC 34:3,0,9.635,11.966,6.734,9.504,5.605,5.776,9.595,8.464,10.175,8.355,2.686,10.183,12.018,7.592,11.347,7.932,10.951,17.047,22.106,15.052,7.148,7.154,8.323,5.484,5.739,6.25,3.324,6.053,6.356,5.604
PC 34:4,0,1.141,1.132,0.667,0.43,0.309,0.298,1.144,1.192,1.1,0.734,0.148,1.05,0.977,0.721,0.865,1.319,2.025,2.175,3.108,1.64,0.625,0.57,0.421,0.4,0.3,0.62,0.408,0.483,0.399,0.313
PC 36:0,0,1.095,2.079,1.643,0,0,0,1.8,1.543,1.72,0.936,1.517,1.216,0,1.455,0,0.891,0,0.599,0,0.415,0,0,0,0,0.932,0,0.838,0,2.528,0
PC 36:1,0,20.048,43.589,27.794,26.841,21.229,23.777,20.472,20.149,27.09,31.138,11.01,40.296,48.201,34.659,34.675,32.553,53.517,71.991,94.346,46.901,16.222,22.406,21.399,25.195,24.039,30.938,18.274,25.649,47.323,28.229
PC 36:2,0,116.987,290.217,202.858,158.832,106.085,100.444,146.574,144.304,177.125,180.918,55.498,181.545,144.068,143.403,157.586,137.26,178.368,168.969,221.505,151.561,68.262,74.586,86.568,122.342,134.403,132.929,72.548,125.576,226.222,180.834
PC 36:3,0,86.041,136.49,86.357,99.561,72.589,71.208,73.715,78.915,80.518,106.815,42.03,120.889,113.13,99.37,83.143,104.273,118.065,126.689,179.652,133.939,52.529,49.798,65.61,77.393,83.603,80.719,47.239,90.027,82.052,69.412
PC 36:4,0,76.119,154.754,136.771,139.591,89.757,69.976,108.24,109.26,160.884,165.564,177.708,128.322,106.905,92.614,103.354,181.087,257.083,225.376,271.107,230.52,52.584,47.257,47.854,136.652,146.911,149.471,115.333,181.637,106.636,94
PC 36:5,0,6.668,13.37,7.168,7.712,5.231,4.993,22.739,11.496,30.151,7.945,7.727,16.065,13.477,10.592,11.423,12.716,17.403,25.635,32.469,23.376,7.367,6.762,6.4,6.237,7.272,7.852,4.713,6.932,6.252,14.284
PC 38:0,0,1.109,3.018,2.278,2.308,1.334,0.884,2.113,1.717,2.427,2.542,1.513,1.209,1.121,1.511,1.979,1.505,2.433,1.702,1.895,2.121,0.891,0.53,0.494,1.542,1.61,1.943,1.192,1.957,1.082,2.298
PC 38:1,0,1.719,1.356,0.8,1.508,0.512,0.831,2.029,1.791,2.731,0.846,0.802,1.13,1.355,0.947,2.003,1.637,2.684,1.575,2.242,2.025,0.469,0.349,1.206,1.515,0.716,1.508,0.456,1.287,1.432,2.018
PC 38:2,0,3.423,6.827,4.578,5.253,3.274,4.334,5.346,4.602,6.81,4.632,2.154,3.529,4.522,5.077,7.251,7.183,7.483,6.428,8.541,4.808,3.807,2.723,4.03,3.498,2.945,3.421,2.255,3.028,4.277,7.073
PC 38:3,0,21.644,34.369,23.648,29.056,27.482,30.936,21.295,23.633,33.382,25.025,10.961,47.151,45.801,42.168,39.735,46.643,44.632,49.58,57.392,44.106,15.267,15.94,14.995,30.245,31.558,26.748,15.108,31.074,24.765,25.347
PC 38:4,0,43.323,103.762,92.813,82.223,63.574,55.603,67.211,68.55,110.856,98.744,71.277,79.412,66.399,62.274,85.234,121.865,154.678,134.121,155.557,122.297,28.72,29.897,24.852,92.442,99.377,93.261,66.476,112.501,83.041,71.463
PC 38:5,0.01,24.169,44.569,35.806,39.853,28.07,25.006,40.789,34.12,50.016,50.764,35.798,43.346,35.475,34.604,39.06,57.684,77.302,79.675,105.507,73.705,18.954,18.696,17.967,38.872,42.415,45.85,30.74,49.119,28.678,32.88
PC 38:6,0,34.005,73.886,59.251,37.92,24.641,20.321,63.768,46.437,99.08,79.88,62.689,42.137,30.447,35.771,52.279,66.234,85.898,65.879,72.168,68.117,23.466,18.555,20.681,57.266,53.47,54.237,37.234,64.675,53.411,53.417
PC 38:7,0,0.739,1.797,0.871,0.709,0.511,0.413,1.669,1.053,1.625,0.947,0.738,0.99,0.723,0.649,1.414,1.062,1.516,1.66,2.324,1.599,0.574,0.454,0.545,0.656,0.873,0.916,0.503,0.676,0.598,1.216
PC 40:4,0,2.25,2.793,2.798,2.793,2.183,2.398,2.106,1.809,3.301,3.53,2.238,3.697,3.681,2.365,3.511,5.562,7.268,9.434,10.901,6.569,1.555,1.889,1.125,3.407,3.655,3.354,2.955,4.86,3.147,3.546
PC 40:5,0,5.009,7.334,7.656,9.371,6.47,6.365,6.623,6.005,9.809,11.654,5.661,10.117,10.333,9.175,10.904,16.609,21.064,21.473,25.737,14.557,4.172,4.222,4.071,9.828,9.867,9.82,6.948,10.231,7.974,6.445
PC 40:6,0.028,9.545,24.398,18.41,14.622,10.861,9.858,19.303,14.174,36.925,25.989,11.12,16.053,14.068,14.941,30.748,28.544,36.488,26.759,30.225,23.092,7.674,7.574,6.769,21.668,20.086,18.938,11.635,21.301,21.994,23.267
PC 40:7,0,4.04,5.765,3.701,3.635,2.626,1.988,4.955,3.419,5.238,5.099,2.201,2.927,2.878,2.78,4.312,5.405,6.145,6.9,9.001,6.21,2.247,1.585,1.99,3.953,3.952,3.868,2.284,5.093,3.559,3.69
PC O-32:0,0,2.163,4.123,3.853,4.255,2.922,4.596,3.508,2.737,2.305,3.288,2.337,3.905,4.035,5.11,3.851,3.968,4.689,3.918,4.182,4.13,2.667,2.027,2.847,3.648,3.527,3.696,2.107,2.974,3.339,2.515
PC O-32:1,0.01,1.11,3.497,3.409,3.792,2.435,4.399,2.212,2.179,2.613,3.802,2.451,3.142,3.101,3.36,3.031,2.747,4.155,3.406,4.347,3.7,2.503,1.81,2.268,2.322,2.35,2.803,1.861,2.677,3.384,2.829
PC O-34:0,0,0,2.033,1.654,1.426,0.836,0.945,1.245,1.168,1.39,1.561,1.131,1.867,1.86,2.258,1.71,1.306,2.043,1.42,1.685,1.195,0.946,1.043,1.215,1.688,1.59,1.548,0.601,1.145,2.04,1.629
PC O-34:1,0,7.06,12.17,9.921,11.894,8.89,9.63,9.963,8.796,7.705,11.878,7.168,11.207,12.298,11.977,10.499,9.007,11.724,9.717,12.44,11.183,8.752,7.775,8.439,7.942,9.113,10.119,5.98,8.894,11.942,8.674
PC O-34:2,0,7.133,14.933,12.115,9.68,6.292,6.577,11.078,9.623,8.035,10.711,6.173,8.011,6.523,8.197,7.51,7.09,10.94,7.294,9.633,7.016,4.972,4.849,5.99,6.826,7.992,11.377,5.731,10.066,10.555,9.463
PC O-34:3,0,3.984,10.854,8.689,7.668,6.252,4.269,7.305,5.322,4.372,7.929,3.993,5.897,4.612,6.048,4.902,5.853,7.132,5.39,6.159,5.09,2.351,2.677,3.342,4.557,4.792,6.931,3.826,6.249,9.117,7.771
PC O-36:0,0,0.677,1.309,0.995,0.865,0.485,0.534,0.616,0.241,0.861,1.59,0.548,0.88,0.578,0.664,0.79,1.064,1.114,1.16,1.533,1.097,0.33,0.216,0.708,0.679,0.774,0.545,0.394,0.636,1.275,0.671
PC O-36:1,0,6.388,9.867,9.509,6.736,4.932,5.336,7.084,6.648,7.791,7.334,6.5,8.196,8.766,9.011,11.394,4.21,5.744,4.973,6.23,7.219,3.542,3.806,6.338,5.315,6.574,7.006,5.358,9.587,9.941,12.276
PC O-36:2,0,8.753,18.432,14.613,9.809,5.806,5.409,13.976,10.39,10.266,12.195,5.24,10.978,8.49,9.565,9.489,5.573,8.763,5.732,7.018,6.999,5.361,5.408,6.728,7.752,8.959,9.074,5.165,7.462,14.986,12.185
PC O-36:3,0,4.924,8.569,6.853,6.25,4.537,4.863,5.782,5.706,4.517,5.912,3.344,5.351,5.457,5.566,6.144,5.032,7.296,5.662,7.646,6.562,2.938,2.957,3.813,4.715,5.431,6.784,3.564,5.364,6.56,5.516
PC O-36:4,0,7.519,20.999,16.916,13.378,9.755,9.54,12.936,11.478,13.374,15.28,11.641,13.032,11.148,13.339,14.563,15.817,28.601,18.062,27.806,22.921,5.532,4.829,5.265,14.209,18.128,17.837,11.163,18.197,10.605,10.333
PC O-36:5,0,5.39,14.013,10.637,10.396,7.295,5.727,8.878,6.207,10.702,12.735,10.783,8.836,6.503,9.297,8.278,8.502,14.062,9.104,12.863,9.95,3.585,2.775,2.672,8.621,9.507,10.424,7.357,10.907,8.088,7.618
PC O-38:1,0,1.205,1.597,2.31,0.718,0.717,1.465,0.256,1.054,1.097,0.499,0.905,0.405,1.067,0.748,3.514,0.848,0.64,0.651,0.667,0.925,0.222,0.524,0.812,0.091,0.679,1.225,1.015,1.905,1.602,3.306
PC O-38:2,0.027,2.691,2.958,2.107,1.676,1.888,2.643,1.632,1.563,2.29,1.281,1.676,1.508,1.428,1.552,4.353,0.836,0.822,0,1.635,1.164,0.843,0.743,1.975,1.141,1.111,1.356,0.732,3.432,2.757,4.192
PC O-38:3,0,4.625,4.352,5.516,4.283,3.968,5.508,2.988,2.966,4.982,3.405,8.332,4.001,3.292,4.59,9.266,2.834,3.41,2.558,3.619,5.167,1.953,1.325,3.998,2.772,3.215,3.044,5.012,10.212,4.663,9.225
PC O-38:4,0,6.901,13.995,13.039,9.422,6.084,7.782,9.496,8.618,8.581,10.685,10.845,10.374,8.472,9.432,10.063,10.383,13.286,10.378,12.328,12.304,4.289,3.977,4.162,12.134,14.453,14.075,8.715,11.626,11.043,9.237
PC O-38:5,0,9.216,19.564,15.979,19.787,14.118,13.161,14.425,11.382,13.97,19.896,15.559,11.711,10.228,13.639,14.285,15.495,26.779,16.778,20.446,19.219,8.145,5.491,5.647,15.506,16.96,17.438,12.032,16.908,12.755,11.232
PC O-40:4,0,1.655,2.226,2.621,1.868,1.914,2.889,1.395,1.543,2.52,1.376,2.815,1.654,1.359,1.612,3.553,1.972,2.126,2.082,1.971,2.856,1.046,0.735,1.193,2.222,2.332,2.236,2.362,4.023,2.131,3.385
PC O-40:5,0,2.975,3.375,4.495,4.147,2.906,4.141,3.109,2.42,4.275,3.372,5.771,2.381,1.653,2.463,6.143,3.161,3.895,2.747,3.672,3.92,1.568,0.961,2.147,2.846,3.751,3.78,3.645,5.731,2.996,6.729
PC O-40:6,0,1.741,5.098,3.583,3.419,2.446,2.101,3.542,2.907,3.641,3.544,2.828,2.592,1.65,2.583,3.195,2.359,3.79,2.07,2.443,2.916,1.511,1.376,1.491,3.179,3.536,3.637,1.994,2.991,3.233,3.169
PC O-42:4,0.039,0.549,1.164,1.064,0.829,0.478,1.279,0.71,0.61,0.633,0.44,0.807,0.927,0.517,0.687,1.232,0.854,0.697,0.6,0.841,0.803,0.535,0.295,0.513,0.598,1.116,1.041,0.592,1.246,0.774,0.983
PC O-42:5,0,1.038,1.608,1.905,2.482,1.54,2.804,1.589,1.278,1.647,1.53,1.867,1.218,0.991,1.148,3.556,1.878,1.991,1.529,1.822,2.221,1.508,0.802,1.081,1.556,1.331,2.221,1.581,2.222,1.632,2.527
PC O-42:6,0.064,0.695,1.405,1.36,1.269,0.972,1.145,0.974,0.757,0.95,1.064,1.002,0.728,0.614,0.84,1.363,0.679,0.997,0.747,0.814,1.006,0.624,0.355,0.543,0.923,1.134,1.137,0.552,1.014,0.844,1.101
PC O-44:4,0,0.82,1.489,1.112,0.681,0.582,0.635,0.818,0.628,0.419,0.715,0.372,1.039,0.48,0.585,0.815,0.839,0.742,0.646,0.75,0.746,0.632,0.371,0.656,0.51,0.597,1.037,0.345,0.723,1.052,0.583
PC O-44:5,0,0.549,2.245,2.036,2.827,1.466,2.973,1.879,1.751,1.099,1.827,1.643,1.521,1.086,1.346,2.32,2.067,2.031,1.666,2.149,2.604,1.85,1.336,1.32,2.376,2.057,2.881,1.509,1.975,1.017,1.19
PC O-44:6,0,0.488,1.1,1.242,1.299,1.046,1.486,1.366,1.072,0.676,0.973,1.085,1.165,0.616,0.639,1.445,0.915,1.244,0.827,0.936,1.098,1.132,0.434,0.625,0.976,1.232,1.32,0.569,0.84,0.835,0.418
SM 32:1,0,4.928,10.256,8.713,2.92,2.298,2.091,7.823,7.19,7.662,7.255,6.381,8.806,6.457,7.839,5.857,6.662,7.711,6.41,7.94,6.619,4.038,4.159,5.018,4.195,4.848,4.276,2.839,4.412,9.202,8.126
SM 33:1,0,2.473,5.755,5.649,2.001,1.534,1.389,4.905,5.035,4.565,4.997,4.471,4.543,4.312,4.434,3.32,1.913,2.411,2.041,2.475,2.303,2.437,2.133,2.963,3.113,3.964,3.195,2.188,3.061,6.292,5.446
SM 34:0,0,0,0,0,4.435,3.442,0,0,0,6.039,0,6.261,5.547,3.819,4.646,3.463,4.234,0,3.339,3.266,0,2.116,0,0,6.866,9.106,7.837,5.893,8.746,0,0
SM 34:1,0,57.017,105.008,104.072,77.034,56.223,48.407,80.301,71.977,94.122,141.11,115.39,91.935,74.799,97.696,87.227,88.522,105.75,87.805,92.259,84.08,49.046,45.274,55.894,86.9,94.258,90.525,59.226,102.138,125.532,112.022
SM 34:2,0,5.216,8.915,9.421,7.322,4.968,4.369,9.054,8.48,13.497,14.68,14.307,8.5,7.279,8.359,9.496,10.649,12.48,9.443,11.142,8.811,3.877,3.978,4.393,8.54,8.464,7.807,6.736,12.224,11.078,10.509
SM 35:0,0,0.501,0.974,0.741,0.505,0.425,0.22,0.695,0.578,0.646,1.181,0.885,0.712,0.533,0,0.767,0.472,0.487,0.655,0.391,0.596,0,0.307,0,0.368,0.924,0.602,0.495,0.427,0.977,0.811
SM 35:1,0,1.384,2.462,2.365,1.343,0.955,0,2.283,2.198,2.47,2.753,2.745,2.221,1.891,2.396,2.027,1.102,0.902,0.818,0.715,0.991,1.223,0.969,1.56,1.89,2.143,2.032,1.23,2.169,3.196,2.626
SM 35:2,0,0.113,0.153,0.321,0.112,0.119,0.111,0.356,0.278,0,0.278,0.335,0.262,0.207,0.226,0.266,0.167,0.094,0.027,0,0,0.035,0.112,0.18,0.178,0.297,0.14,0.136,0.196,0.325,0.218
SM 36:0,0,0.724,1.279,1.528,3.029,1.739,1.519,0.441,0.328,3.503,3.127,3.634,2.641,0.381,1.865,2.994,0,0.999,1.254,0,2.838,0,0.534,0,2.396,3.729,2.59,1.919,3.182,1.963,1.048
SM 36:1,0,9.607,16.367,18.04,22.601,16.447,15.196,15.972,15.601,23.222,29.52,30.618,19.106,0,21.486,23.694,13.991,14.612,11.487,11.862,15.991,11.778,11.277,12.604,21.751,22.778,20.168,15.115,26.14,22.352,19.828
SM 36:2,0,3.041,5.934,6.01,6.951,5.468,5.047,6.698,6.166,10.182,10.105,12.718,6.41,4.88,6.393,7.668,5.176,5.555,4.674,5.372,5.59,3.547,3.348,4.148,6.737,7.648,7.586,6.475,11.171,7.246,7.001
SM 36:3,0,0.306,0.427,0.415,0.358,0,0.23,0.526,0.367,0.776,0.547,0.543,0.307,0.22,0.287,0.404,0.197,0.252,0.059,0.144,0.346,0.097,0.094,0.11,0.246,0.325,0.33,0.196,0.369,0.492,0.332
SM 38:0,0,3.68,5.419,5.02,4.611,3.211,1.373,2.591,2.904,3.138,7.394,2.009,3.918,3.909,3.765,3.109,3.558,5.516,5.363,6.814,5.223,0.151,1.324,0.721,3.586,5.118,4.255,2.53,4.843,1.934,1.925
SM 38:1,0,10.086,21.248,18.625,13.919,9.602,6.227,15.25,17.752,16.332,13.292,8.92,17.069,11.917,15.087,14.445,10.977,11.372,9.857,11.113,15.304,8.754,6.923,8.392,11.927,13.492,11.626,9.183,14.336,16.554,15.064
SM 38:2,0,2.172,3.642,2.941,3.129,2.713,1.967,4.328,3.553,4.711,3.979,3.914,3.187,2.15,3.534,4.092,2.775,3.233,2.024,2.667,2.789,2.056,1.965,2.144,3.026,3.088,3.359,2.241,4.962,3.919,4.06
SM 38:3,0,0.209,0.201,0.119,0.295,0.191,0,0.235,0.131,0.268,0.41,0.402,0.301,0.105,0.162,0.413,0.067,0.187,0.087,0,0.408,0.127,0.118,0.263,0.177,0.267,0.134,0.049,0.198,0.221,0.29
SM 40:0,0.027,0.589,2.549,0.967,1.218,0.937,1.009,0.956,0,2.799,2.065,1.137,1.604,2.459,1.048,0.722,0.633,1.139,2.615,2.241,1.968,0.245,1.165,0.303,0.78,2.351,0.019,0.292,2.4,0,1.71
SM 40:1,0,11.532,26.325,24.025,13.214,8.189,7.031,22.173,21.975,27.555,13.309,13.147,21.477,17.926,20.322,17.232,17.477,18.997,15.429,18.106,16.324,7.848,6.046,9.588,17.517,20.215,20.177,13.031,20.365,23.772,20.556
SM 40:2,0,8.92,14.21,14.231,9.885,7.324,5.136,15.878,14.974,17.664,10.288,10.094,14.111,10.053,12.103,9.899,11.255,12.36,9.421,13.429,13.743,7.812,7.976,8.768,10.412,10.533,11.14,6.98,14.461,15.362,16.625
SM 40:3,0,1.758,2.56,3.386,2.823,2.904,2.768,3.543,2.227,4.475,3.095,3.196,2.316,2.354,3.035,2.511,3.533,2.642,3.911,2.439,4.257,2.098,1.944,0.635,2.349,1.732,2.754,0.78,3.363,2.299,2.754
SM 41:1,0.059,3.739,9.211,9.702,3.471,1.961,1.763,10.202,8.594,10.752,3.199,4.589,7.043,4.606,6.144,5.694,4.821,5.718,4.693,4.366,5.303,1.739,1.733,2.788,5.578,6.264,5.255,3.756,6.135,9.581,7.846
SM 41:2,0,3.876,6.406,6.442,3.48,2.777,2.126,8.187,6.664,7.449,3.412,4.504,5.283,4.329,5.276,4.999,3.433,4.523,3.367,3.629,4.118,2.733,2.253,3.087,4.062,4.55,4.718,3.137,5.173,6.968,6.889
SM 42:1,0,7.215,15.015,15.195,8.523,5.922,3.844,12.617,11.643,16.503,6.296,8.715,15.414,11.1,13.935,9.264,11.47,13.602,10.639,13.137,13.802,4.733,4.307,5.72,13.762,16.047,14.213,9.424,17.369,14.045,12.138
SM 42:2,0,30.645,35.18,35.997,56.639,40.49,30.898,41.759,35.573,52.65,45.389,35.077,43.435,33.937,45.629,47.705,41.756,49.828,37.267,45.385,47.512,25.651,22.624,28.489,43.708,43.689,47.482,34.013,61.257,47.614,50.878
SM 42:3,0,12.342,16.601,15.039,22.292,16.365,14.83,19.13,16.39,23.759,18.208,17.068,16.561,12.714,19.939,21.109,17.42,23.83,17.961,18.694,19.581,10.366,8.716,12.979,17.396,17.506,18.57,13.894,26.816,19.977,20.899
SM 42:4,0.008,1.249,1.852,1.142,1.944,1.813,1.621,1.633,1.464,3.29,1.582,2.094,1.95,1.864,1.787,1.927,1.511,1.458,2.253,0.742,1.815,1.311,0.643,0.901,1.461,1.515,1.444,0.482,1.68,1.543,1.299
PE 34:1,0,1.613,1.137,0.486,0.979,0.875,0.918,0.372,0.407,0.484,1.044,0.37,1.424,1.678,0.95,0.337,2.465,3.409,4.553,6.827,1.879,0.831,0.862,1.058,0.469,0.559,0.662,0.372,0.834,1.133,0.734
PE 34:2,0,2.91,2.682,1.635,1.48,1.197,1.392,1.043,1.077,1.019,1.731,0.781,2.691,2.8,1.77,1.089,2.637,3.383,3.693,5.494,2.075,1.84,2.087,2.169,0.709,0.951,0.98,0.56,1.056,2.24,2.033
PE 34:3,0,0.261,0.121,0.05,0.053,0.05,0.074,0.077,0.048,0.068,0.05,0.024,0.115,0.166,0.098,0.097,0.121,0.182,0.364,0.42,0.145,0.131,0.153,0.167,0.036,0.04,0.041,0.026,0.053,0.063,0.078
